,department,region,education,gender,recruitment_channel,no_of_trainings,age,previous_year_rating,length_of_service,KPIs_met >80%,awards_won?,avg_training_score
0,8,18,-0.6373658876249736,1,2,-0.4230938831165917,-1.404150049326643,-0.2571910651964931,-1.143199851537139,1,-0.15266456425388353,1.0242630139544926
1,2,28,-0.6373658876249736,0,0,-0.4230938831165917,-0.4926119662096749,-0.2571910651964931,-0.19259046668785595,0,-0.15266456425388353,-0.9143769134735917
2,7,4,-0.6373658876249736,1,0,-0.4230938831165917,-0.4926119662096749,-1.900667159175172,-0.43024281290017674,0,-0.15266456425388353,-1.2126292100009894
3,5,11,-0.6373658876249736,0,0,2.9052635564040847,-0.4926119662096749,-1.0789291121858324,0.7580189181614272,0,-0.15266456425388353,0.12950612437229986
4,1,21,-0.6373658876249736,1,2,-0.4230938831165917,-0.6228316923692419,0.5645469817928463,0.2827142257367856,0,-0.15266456425388353,-0.16874617215509774
5,5,31,-0.6373658876249736,1,2,-0.4230938831165917,0.1584866645881595,-0.2571910651964931,-0.9055475053248183,0,-0.15266456425388353,0.3531953467678481
6,1,11,-0.6373658876249736,1,0,-0.4230938831165917,-0.23217251389054117,1.3862850287821857,-0.6678951591124975,1,-0.15266456425388353,-0.46699846868249534
7,0,14,-0.6373658876249736,1,2,1.2410848366437466,0.1584866645881595,-0.2571910651964931,-0.6678951591124975,0,-0.15266456425388353,1.6207676070092878
8,8,31,1.6002256084609074,1,0,-0.4230938831165917,2.111782556981663,0.5645469817928463,1.2333236105860688,0,-0.15266456425388353,0.8751368656907939
9,8,14,-0.6373658876249736,1,2,-0.4230938831165917,-0.7530514185288086,1.3862850287821857,-0.9055475053248183,1,-0.15266456425388353,0.9496999398226432
10,7,7,-0.6373658876249736,1,2,1.2410848366437466,0.679365569226427,1.3862850287821857,1.4709759567983896,1,-0.15266456425388353,-0.9889399876054411
11,7,8,1.6002256084609074,1,2,-0.4230938831165917,0.679365569226427,-0.2571910651964931,0.995671264373748,0,-0.15266456425388353,-1.2871922841328387
12,7,28,1.6002256084609074,0,0,-0.4230938831165917,-0.10195278773097427,-0.2571910651964931,-0.43024281290017674,0,-0.15266456425388353,-0.8398138393417424
13,0,16,-0.6373658876249736,1,0,-0.4230938831165917,0.28870639074772636,-0.2571910651964931,0.995671264373748,0,-0.15266456425388353,1.3970783846137398
14,4,2,-0.6373658876249736,1,2,-0.4230938831165917,-0.6228316923692419,1.3862850287821857,0.045061879524464846,1,-0.15266456425388353,-0.39243539455064597
15,7,31,-0.6373658876249736,1,2,-0.4230938831165917,-0.4926119662096749,0.5645469817928463,-0.43024281290017674,1,-0.15266456425388353,-1.2126292100009894
16,4,19,-0.6373658876249736,0,2,-0.4230938831165917,-1.1437105970075094,1.3862850287821857,-0.6678951591124975,0,-0.15266456425388353,-0.5415615428143448
17,7,8,-0.6373658876249736,1,2,-0.4230938831165917,0.679365569226427,1.3862850287821857,0.045061879524464846,1,-0.15266456425388353,-0.9889399876054411
18,5,31,-0.6373658876249736,0,0,-0.4230938831165917,1.851343104662529,-0.2571910651964931,0.2827142257367856,1,-0.15266456425388353,0.054943050240450465
19,5,19,-0.6373658876249736,1,0,-0.4230938831165917,-1.0134908708479424,-1.0789291121858324,-0.19259046668785595,0,-0.15266456425388353,0.12950612437229986
20,7,33,1.6002256084609074,1,2,-0.4230938831165917,0.28870639074772636,1.3862850287821857,-0.6678951591124975,0,-0.15266456425388353,-1.2126292100009894
